Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
BOINC/boinc,open,2678,19f86f493ab110b8dc8279a024880e44203968d8,test/1sec_correct_output,removed,0,1,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,854f54a040a03b45a624574bcde79f5c87a90693,test/1sec_result,removed,0,13,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,da05e111486f419bd875394ef1f41a2dd4ed49a6,test/1sec_wu,removed,0,2,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,aeb8051b5ecf3929ac9f38fe6869196b2a7b1b46,test/Makefile.am,removed,0,43,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,ccbe669daac32664bd33d48fa599bf2727c324e5,test/abort_result,removed,0,13,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,2679fc12387931eda7d80cd8ca3f8a5e2dad0a2c,test/cc_config.xml,removed,0,13,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,cbe07665b032d4b7d4c5911d7a0062634df20c49,test/cgiserver.py,removed,0,197,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,6e293ae1a00cac863968ef1acc63f92db8fbec7c,test/concat_correct_output,removed,0,2651,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,f4a2b7fa37972c50a5b164c60e2d2953ea79a046,test/concat_result,removed,0,13,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,c053e2600967384bee18bcb26034a1d46c722630,test/concat_wu,removed,0,17,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,d1febfb4e8e93645157c2083efe8447af3912676,test/db_def_to_php,removed,0,20,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,5f904785890b336769bc6ad14aea36f87b7a5a10,test/db_def_to_py,removed,0,16,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,0a7ab08a3ef4ddf27f422639f044d42481bcc24e,test/fake_php.py,removed,0,24,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,f242eb72608ad5a5790bc33884e49d21e6928542,test/gen_keys.php,removed,0,9,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,8f92f9f04de088de0b7159310ddddd8dbc231b4f,test/init.inc,removed,0,310,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,f448d511af3112ac48a85e539e25f14779deee20,test/input,removed,0,1326,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,63ea62656a2e42708ed3a5de9cc628389d308074,test/make_project.php,removed,0,47,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,d5affd9269204a32dd288790eb84cbae6e695218,test/make_project_sah.php,removed,0,61,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,fab55e58c3abdc7dfba9dbfcfd9cebf396f7da20,test/shrm,removed,0,5,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,323831e863f212f6936603db8b18b61b4bd1f596,test/small_input,removed,0,1,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
BOINC/boinc,open,2678,d2d2b125f6c537b2589623afdc1fb2f6a2e1c379,test/ta_correct_atc,removed,0,2,BryanQuigley,2018-08-30 21:49:26,2018-08-30 21:49:26,0,0,,
